
 INFO Server running on [http://127.0.0.1:8001]. 

 Press Ctrl+C to stop the server
 2026-08-27 16:37:53 /build/assets/list-checks-ivbD5vCG.js .. ~ 0.58ms
 2026-08-27 16:37:53 /build/assets/label-CZXitPCt.js .. ~ 0.82ms
 2026-08-27 16:37:53 /build/assets/trial-status-D3UwhyRl.js .. ~ 1.10ms
 2026-08-27 16:37:53 /build/assets/trials-table-B3wlxuJG.js .. ~ 1.35ms
 2026-08-27 16:37:53 /build/assets/pagination-footer-DKvBHcl9.js .. ~ 1.77ms
 2026-08-27 16:37:53 /build/assets/es2015-BuDVKjBt.js .. ~ 0.05ms
 2026-08-27 16:37:53 /build/assets/table-BuUfoXgb.js .. ~ 0.06ms
 2026-08-27 16:37:53 /build/assets/badge-Df5YAb2T.js .. ~ 0.39ms
 2026-08-27 16:37:53 /build/assets/createLucideIcon-DmbgV8gS.js .. ~ 0.19ms
 2026-08-27 16:37:54 /build/assets/instrument-sans-600-normal-B9e8oLYv.woff .. ~ 0.06ms
 2026-08-27 16:37:54 /build/assets/instrument-sans-400-normal-D1W7dsQl.woff .. ~ 0.29ms
 2026-08-27 16:37:54 /build/assets/instrument-sans-500-normal-Z6ESRlEs.woff .. ~ 0.46ms
 2026-08-27 16:37:54 /build/assets/validation-CE1VJZsf.js .. ~ 0.16ms
 2026-08-27 16:37:54 /build/assets/weighing-BMCW3w70.js .. ~ 0.40ms
 2026-08-27 16:37:54 /build/assets/attachments-CJgRV7Us.js .. ~ 0.58ms
 2026-08-27 16:37:54 /build/assets/report-BP4HFjM6.js .. ~ 0.78ms
 2026-08-27 16:37:54 /build/assets/review-BlEntY1K.js .. ~ 1.06ms
 2026-08-27 16:37:54 /build/assets/dashboard-DfOmZYM6.js .. ~ 1.42ms
 2026-08-27 16:37:54 /build/assets/list-checks-ivbD5vCG.js .. ~ 0.08ms
 2026-08-27 16:37:54 /build/assets/card-BYCv6fNN.js .. ~ 0.36ms
 2026-08-27 16:37:54 /build/assets/label-CZXitPCt.js .. ~ 0.64ms
 2026-08-27 16:37:54 /build/assets/trial-status-D3UwhyRl.js .. ~ 0.94ms
 2026-08-27 16:37:54 /build/assets/trials-table-B3wlxuJG.js .. ~ 1.20ms
 2026-08-27 16:37:54 /build/assets/pagination-footer-DKvBHcl9.js .. ~ 1.45ms
 2026-08-27 16:37:54 /build/assets/badge-Df5YAb2T.js .. ~ 0.24ms
 2026-08-27 16:37:54 /build/assets/table-BuUfoXgb.js .. ~ 0.93ms
 2026-08-27 16:37:54 /trials/in-review .. ~ 514.77ms
 2026-08-27 16:37:55 /trials/draft .. ~ 0.12ms
 2026-08-27 16:37:55 /trials/create .. ~ 508.69ms
 2026-08-27 16:37:56 /build/assets/form-BDNJuYX5.js .. ~ 0.13ms
 2026-08-27 16:37:56 /build/assets/check-DQIbH2Rg.js .. ~ 0.59ms
 2026-08-27 16:37:56 /build/assets/select-CwsgyXSb.js .. ~ 0.91ms
 2026-08-27 16:37:56 /build/assets/input-error-s5bqd2KT.js .. ~ 1.22ms
 2026-08-27 16:37:56 /build/assets/textarea-BJHHUHyE.js .. ~ 1.50ms
 2026-08-27 16:37:56 /build/assets/combobox-G-vG2vhK.js .. ~ 1.85ms
 2026-08-27 16:37:56 /build/assets/trial-wizard-steps-Da1FNROi.js .. ~ 0.18ms
 2026-08-27 16:37:56 /build/assets/form-BDNJuYX5.js .. ~ 0.10ms
 2026-08-27 16:37:56 /build/assets/check-DQIbH2Rg.js .. ~ 0.39ms
 2026-08-27 16:37:56 /build/assets/input-error-s5bqd2KT.js .. ~ 0.67ms
 2026-08-27 16:37:56 /build/assets/select-CwsgyXSb.js .. ~ 0.92ms
 2026-08-27 16:37:56 /build/assets/textarea-BJHHUHyE.js .. ~ 1.19ms
 2026-08-27 16:37:56 /build/assets/combobox-G-vG2vhK.js .. ~ 1.46ms
 2026-08-27 16:37:56 /build/assets/trials-D5a-vSc7.js .. ~ 0.18ms
 2026-08-27 16:37:56 /build/assets/trial-wizard-steps-Da1FNROi.js .. ~ 0.17ms
 2026-08-27 16:37:57 /build/assets/trials-D5a-vSc7.js .. ~ 0.15ms
 2026-08-27 16:37:57 /sso/to-old .. ~ 31s
 2026-08-27 16:38:56 /sso/exchange .. ~ 512.06ms
 2026-08-27 16:38:56 /dashboard .. ~ 0.03ms
 2026-08-27 16:38:56 /build/assets/instrument-sans-400-normal-DRC__1Mx.woff2 .. ~ 0.02ms
 2026-08-27 16:38:57 /build/assets/instrument-sans-500-normal-Dk9ku72i.woff2 .. ~ 0.19ms
 2026-08-27 16:38:57 /build/assets/instrument-sans-600-normal-B7fBEWYG.woff2 .. ~ 0.44ms
 2026-08-27 16:38:57 /build/assets/app-gwS8Gs8z.css .. ~ 0.62ms
 2026-08-27 16:38:57 /build/assets/app-DolNItQx.js .. ~ 0.93ms
 2026-08-27 16:38:57 /build/assets/rolldown-runtime-CbXtAM7H.js .. ~ 1.31ms
 2026-08-27 16:38:57 /build/assets/wayfinder-DZh1HhRB.js .. ~ 1.59ms
 2026-08-27 16:37:57 /build/assets/rolldown-runtime-CbXtAM7H.js .. ~ 59s
 2026-08-27 16:38:57 /build/assets/button-Gg-Ut9h1.js .. ~ 0.18ms
 2026-08-27 16:38:57 /build/assets/dist-C4E0F_Zx.js .. ~ 0.76ms
 2026-08-27 16:38:57 /build/assets/utils-CCDJ05Ll.js .. ~ 1.04ms
